updateon,symbol,isinCode,identifier,listingDate,issuedSize,lastPrice,TodayChangeValue,TodayPercentageChange,previousClose,close,vwap,open,minintraday,maxintraday,valueintraday,52WeekMin,52WeekMinDate,52WeekMax,52WeekMaxDate,valueweek,upperCP,lowerCP,basePrice,iNavValue,checkINAV,tickSize,priceBand,ppriceBand,totalTradedVolume_lks,totalTradedValue_cr,totalMarketCap_cr,freefloatmktcap_cr,impactCost,faceValue,cmDailyVolatility,cmAnnualVolatility,marketLot,securityVar,indexVar,varMargin,extremeLossMargin,adhocMargin,applicableMargin,volume,deliveryQuantity,deliveryToTradedQuantity_Percentage,FarFrom52WeekHigh,FarFrom52WeekLow,RangePositionTrend,DayPerformance,IntradayRangePercent,RangeTrendLabel,TrendImplication
17-07-2026,ALPHA,INF174KA1IA5,ALPHAEQN,29-Dec-2021,167426753,51.5,-0.28,-0.54,51.78,51.44,51.36,51.78,51.11,51.78,51.36,42.0,30-Mar-2026 00:00:00,53.6,04-Mar-2026 00:00:00,0.0,0.0,0.0,0.0,51.26,True,0.01,41.16-61.72,20,10.1246,5.2,862.2478,8622477779.5,0.07,10.0,1.3,24.84,0,8.13,0.0,8.13,2.0,0.0,10.13,1012456,560737,55.38,3.917910447761196,22.61904761904762,81.89655172413792,-0.5407493240633471,1.310898063001373,Near High,Range-bound/Unclear
17-07-2026,ALPHAETF,INF769K01KU7,ALPHAETFEQN,27-Oct-2023,159697266,25.84,-0.31,-1.19,26.15,25.85,25.91,26.16,25.76,26.16,25.91,21.8,02-Apr-2026 00:00:00,27.0,23-Jun-2026 00:00:00,0.0,0.0,0.0,0.0,25.79,True,0.01,20.68-31.02,20,3.6459,0.9447,412.6577,4126577353.44,0.1,10.0,1.26,24.07,0,7.85,0.0,7.85,2.0,0.0,9.85,364592,253220,69.45,4.296296296296297,18.532110091743114,77.69230769230768,-1.185468451242825,1.5527950310558951,Uncertain,Range-bound/Unclear
17-07-2026,ALPL30IETF,INF109KC17V7,ALPL30IETFEQN,18-Aug-2020,564152720,27.61,0.06,0.22,27.55,27.58,27.57,27.53,27.48,27.63,27.57,24.35,02-Apr-2026 00:00:00,28.72,30-Oct-2025 00:00:00,0.0,0.0,0.0,0.0,27.63,True,0.01,22.07-33.09,20,2.5796,0.7112,1557.6257,15576256599.2,0.06,1.0,0.86,16.43,0,5.29,0.0,6.0,2.0,0.0,8.0,257963,210410,81.57,3.8649025069637863,13.388090349075965,74.5995423340961,0.21778584392014053,0.5458515283842743,Uncertain,Range-bound/Unclear
17-07-2026,AUTOBEES,INF204KC1337,AUTOBEESEQN,25-Jan-2022,16332501,279.5,3.39,1.23,276.11,279.46,278.5,278.87,276.44,280.0,278.5,238.11,08-Aug-2025 00:00:00,299.92,06-Jan-2026 00:00:00,0.0,0.0,0.0,0.0,279.76,True,0.01,223.57-335.35,20,1.8579,5.1743,456.4934,4564934029.5,0.06,10.0,1.31,25.03,0,8.18,0.0,9.0,3.5,0.0,12.5,185792,124198,66.85,6.808482261936522,17.38272227121918,66.9632745510435,1.227771540328125,1.2878020546954139,Uncertain,Range-bound/Unclear
17-07-2026,BANKBEES,INF204KB15I9,BANKBEESEQN,04-Jun-2004,139709250,605.5,8.41,1.41,597.09,604.9,601.88,597.44,595.17,605.99,601.88,515.98,02-Apr-2026 00:00:00,638.99,19-Feb-2026 00:00:00,0.0,0.0,0.0,0.0,605.91,True,0.01,483.92-725.88,20,9.6954,58.3546,8459.3951,84593950875.0,0.04,1.0,1.05,20.06,0,6.51,0.0,9.0,3.5,0.0,12.5,969539,703668,72.58,5.241083585032631,17.349509670917474,72.77457117307536,1.4084978813914095,1.8179679755364098,Uncertain,Range-bound/Unclear
17-07-2026,BFSI,INF769K01HI8,BFSIEQN,05-Aug-2021,150889315,28.01,0.43,1.56,27.58,27.97,27.84,28.26,27.63,28.26,27.84,24.03,02-Apr-2026 00:00:00,29.94,16-Feb-2026 00:00:00,0.0,0.0,0.0,0.0,27.88,True,0.01,22.38-33.56,20,2.5245,0.7028,422.641,4226409713.15,0.15,10.0,1.12,21.4,0,6.93,0.0,9.0,3.5,0.0,12.5,252448,157214,62.28,6.446225784903138,16.562630045776114,67.3434856175973,1.55910079767949,2.2801302931596186,Uncertain,Range-bound/Unclear
17-07-2026,CHEMICAL,INF174KA1XV0,CHEMICALEQN,19-Nov-2025,31703815,30.31,-0.07,-0.23,30.38,30.34,30.29,30.69,30.13,30.87,30.29,24.5,30-Mar-2026 00:00:00,31.0,09-Jun-2026 00:00:00,0.0,0.0,0.0,0.0,30.23,True,0.01,24.28-36.40,20,4.5698,1.3842,96.0943,960942632.65,0.13,10.0,0.97,18.53,0,5.99,0.0,9.0,3.5,0.0,12.5,456983,327618,71.69,2.2258064516129075,23.714285714285708,89.38461538461536,-0.23041474654377975,2.456023896448729,Near High,Range-bound/Unclear
17-07-2026,COMMOIETF,INF109KC19O8,COMMOIETFEQN,21-Dec-2022,13315690,99.82,0.01,0.01,99.81,100.0,99.94,100.3,99.63,100.44,99.94,86.79,29-Aug-2025 00:00:00,110.56,26-May-2026 00:00:00,0.0,0.0,0.0,0.0,100.01,True,0.01,80.00-120.00,20,0.5143,0.514,132.9172,1329172175.8,0.16,10.0,1.04,19.87,0,6.47,0.0,9.0,3.5,0.0,12.5,51429,40000,77.78,9.714182344428373,15.013250374467088,54.81699621371472,0.010019036168711457,0.8130081300813031,Mid Range,Range-bound/Unclear
17-07-2026,CONSUMBEES,INF204KA1LD7,CONSUMBEESEQN,11-Apr-2014,15335115,129.98,0.33,0.25,129.65,130.15,130.0,129.92,129.46,130.52,130.0,114.0,30-Mar-2026 00:00:00,144.38,21-Oct-2025 00:00:00,0.0,0.0,0.0,0.0,130.26,True,0.01,104.12-156.18,20,0.8245,1.0718,199.3258,1993258247.7,0.07,10.0,0.92,17.58,0,5.66,0.0,9.0,3.5,0.0,12.5,82448,36622,44.42,9.973680565175236,14.017543859649114,52.60039499670833,0.2545314307751516,0.818785725320564,Mid Range,Range-bound/Unclear
17-07-2026,CPSEETF,INF457M01133,CPSEETFEQN,04-Apr-2014,2062826432,95.7,0.17,0.18,95.53,95.69,95.64,97.91,94.1,97.91,95.64,85.67,29-Aug-2025 00:00:00,112.0,18-Jun-2026 00:00:00,0.0,0.0,0.0,0.0,95.92,True,0.01,76.56-114.82,20,5.6633,5.4164,19741.249,197412489542.4,0.04,10.0,1.08,20.63,0,6.7,0.0,9.0,3.5,0.0,12.5,566328,386674,68.28,14.553571428571427,11.70771565308743,38.093429548044064,0.17795456924526507,4.048884165781087,Uncertain,Range-bound/Unclear
